IS_top_5_league,Based_rich_nation,Is_top_ranked_nation,EU_National,Caps,Apps,Age,Reputation,Is_top_prev_club,Last_Transfer_Fee,Salary
0,1,2,1,1.0,0.8423028785982478,0.7499999999999999,0.7617085427135678,0,0,203478000.0
0,1,2,1,0.485,0.6946182728410514,0.6428571428571429,0.8241206030150754,0,0,199452000.0
0,1,2,1,0.62,0.425531914893617,0.4999999999999999,0.8994974874371859,1,0,149589000.0
0,1,2,0,0.0,0.30663329161451813,0.2857142857142857,0.7401005025125628,0,0,74157000.0
1,1,2,1,0.35000000000000003,0.2765957446808511,0.25,0.9412060301507538,0,0,48467000.0
0,1,1,0,0.465,0.4718397997496871,0.4999999999999999,0.747537688442211,1,0,40977000.0
0,1,2,1,0.435,0.49061326658322907,0.4642857142857143,0.7738693467336684,0,0,35864000.0
0,1,1,1,0.35000000000000003,0.4593241551939925,0.5357142857142857,0.7487437185929648,1,0,29918000.0
0,1,2,1,0.265,0.4518147684605757,0.5357142857142857,0.7989949748743719,1,0,25624000.0
0,1,0,0,0.405,0.4730913642052566,0.3928571428571429,0.7482412060301508,0,0,24931000.0
0,1,2,0,0.145,0.44180225281602004,0.4285714285714285,0.7487437185929648,1,0,24931000.0
0,1,2,1,0.20500000000000002,0.3516896120150188,0.3214285714285714,0.7487437185929648,0,0,24835000.0
0,1,2,1,0.11,0.40550688360450565,0.4285714285714285,0.7487437185929648,1,0,24791000.0
1,1,1,1,0.525,0.5782227784730913,0.5714285714285715,0.7758793969849246,1,0,24233000.0
0,1,2,0,0.385,0.5556946182728411,0.5714285714285715,0.7239195979899498,1,0,22741000.0
1,1,2,1,0.105,0.409261576971214,0.4642857142857143,0.8858291457286432,1,0,22733000.0
1,1,1,1,0.505,0.4918648310387985,0.4999999999999999,0.8033165829145729,1,0,22438000.0
0,1,0,1,0.305,0.3516896120150188,0.3214285714285714,0.7738693467336684,1,0,21940000.0
1,1,2,1,0.42,0.4693366708385482,0.4642857142857143,0.924321608040201,1,0,21940000.0
1,1,2,1,0.8300000000000001,0.7396745932415519,0.7142857142857143,0.8570854271356784,1,0,21740000.0
1,1,2,0,0.41000000000000003,0.4405506883604506,0.3928571428571429,0.8148743718592965,1,0,21225000.0
1,1,0,0,0.445,0.5018773466833542,0.4999999999999999,0.9321608040201005,1,0,21225000.0
1,1,2,1,0.12,0.1702127659574468,0.1071428571428571,0.894070351758794,1,0,20743000.0
1,1,2,1,0.115,0.24405506883604505,0.2142857142857143,0.9058291457286433,0,0,20743000.0
1,1,0,1,0.125,0.23779724655819776,0.2142857142857143,0.9403015075376885,1,0,20619000.0
1,1,2,1,0.495,0.5344180225281602,0.5357142857142857,0.9500502512562814,0,0,20619000.0
0,1,2,0,0.275,0.5431789737171464,0.4999999999999999,0.6994974874371859,1,0,20020000.0
0,0,2,1,0.875,0.7747183979974969,0.6785714285714285,0.9999999999999999,1,0,19087000.0
1,1,0,1,0.28,0.493116395494368,0.4642857142857143,0.858391959798995,1,0,18518000.0
0,1,0,1,0.04,0.3404255319148936,0.3928571428571429,0.6992964824120603,0,0,18364000.0
1,1,2,1,0.05,0.21777221526908636,0.2857142857142857,0.8090452261306532,0,0,18193000.0
1,1,2,1,0.355,0.4468085106382979,0.4999999999999999,0.7881407035175879,1,0,18193000.0
1,1,2,0,0.265,0.3016270337922403,0.2857142857142857,0.7992964824120603,0,0,18193000.0
1,1,1,1,0.71,0.6733416770963705,0.6428571428571429,0.8916582914572865,1,0,17951000.0
0,1,2,0,0.01,0.29662077596996245,0.3214285714285714,0.7285427135678392,0,0,17951000.0
1,1,1,1,0.265,0.2928660826032541,0.3571428571428571,0.8493467336683417,1,0,17649000.0
1,1,1,1,0.395,0.3591989987484355,0.3928571428571429,0.8738693467336683,0,0,17452000.0
1,1,1,1,0.6,0.6007509386733417,0.5714285714285715,0.7868341708542713,0,0,17452000.0
0,1,0,1,0.41500000000000004,0.4918648310387985,0.5357142857142857,0.7738693467336684,1,0,17286000.0
1,1,1,1,0.58,0.6270337922403004,0.7142857142857143,0.8090452261306532,0,0,16953000.0
1,1,2,0,0.115,0.20400500625782228,0.2142857142857143,0.7185929648241206,1,0,16677000.0
1,1,2,1,0.16,0.3504380475594493,0.3571428571428571,0.8280402010050251,0,0,16374000.0
1,1,2,1,0.20500000000000002,0.2690863579474343,0.25,0.8009045226130653,1,0,15956000.0
1,1,2,1,0.165,0.20525657071339173,0.3571428571428571,0.8276381909547739,1,0,15956000.0
1,1,2,1,0.33,0.609511889862328,0.4999999999999999,0.7926633165829146,0,0,15945000.0
0,1,0,1,0.21,0.38423028785982477,0.3928571428571429,0.7989949748743719,0,0,15646000.0
1,1,2,1,0.51,0.5556946182728411,0.4999999999999999,0.9045226130653267,1,0,15394000.0
1,1,2,0,0.08,0.18397997496871088,0.2142857142857143,0.814572864321608,0,0,15161000.0
1,1,2,1,0.15,0.3254067584480601,0.3571428571428571,0.677286432160804,0,0,15161000.0
1,1,2,1,0.41000000000000003,0.43178973717146435,0.4285714285714285,0.9053266331658292,0,0,15161000.0
1,1,2,1,0.215,0.26032540675844806,0.25,0.8884422110552764,0,0,15161000.0
1,1,2,0,0.14,0.1739674593241552,0.1428571428571429,0.8915577889447236,0,0,15161000.0
1,1,2,1,0.28500000000000003,0.4330413016270338,0.3928571428571429,0.8574874371859297,0,0,15161000.0
1,1,1,1,0.20500000000000002,0.2753441802252816,0.3928571428571429,0.78,0,0,14959000.0
1,1,2,1,0.245,0.2503128911138924,0.3571428571428571,0.8090452261306532,1,0,14959000.0
0,1,2,1,0.07,0.33416770963704634,0.3928571428571429,0.7482412060301508,1,0,14959000.0
1,1,2,1,0.465,0.3854818523153943,0.4642857142857143,0.8016080402010051,1,0,14858000.0
1,1,2,0,0.24,0.27909887359199,0.3214285714285714,0.8752763819095477,0,0,14772000.0
1,1,2,1,0.29,0.45431789737171463,0.5357142857142857,0.8937688442211055,0,0,14555000.0
1,1,1,1,0.3,0.392991239048811,0.4642857142857143,0.8330653266331658,1,0,14460000.0
1,1,2,1,0.39,0.37922403003754696,0.4285714285714285,0.8182914572864322,1,0,14360000.0
1,1,2,1,0.275,0.4430538172715895,0.4642857142857143,0.7482412060301508,0,0,14360000.0
1,1,2,1,0.265,0.3404255319148936,0.25,0.8015075376884422,0,0,14231000.0
1,1,2,1,0.26,0.2991239048811014,0.3214285714285714,0.8268341708542714,1,0,14000000.0
1,1,2,1,0.605,0.623279098873592,0.5357142857142857,0.8679396984924623,1,0,13962000.0
1,1,1,1,0.265,0.3454317897371715,0.3928571428571429,0.7845226130653267,0,0,13962000.0
1,1,2,1,0.005,0.08760951188986232,0.1785714285714286,0.7688442211055276,0,0,13948000.0
1,1,2,0,0.09,0.2102628285356696,0.3214285714285714,0.7762814070351759,0,0,13645000.0
1,1,2,0,0.305,0.32040050062578224,0.4642857142857143,0.8845226130653266,1,0,13645000.0
1,1,2,1,0.155,0.2102628285356696,0.2142857142857143,0.7743718592964824,1,0,13599000.0
1,1,2,1,0.22,0.3667083854818523,0.4285714285714285,0.7903517587939698,1,0,13342000.0
1,1,1,1,0.185,0.2665832290362954,0.25,0.7652261306532663,1,0,13342000.0
1,1,1,1,0.315,0.2403003754693367,0.25,0.8120603015075377,0,0,12664000.0
0,1,2,1,0.0,0.14267834793491865,0.1428571428571429,0.6795979899497487,0,0,12466000.0
1,1,2,1,0.125,0.16896120150187735,0.2142857142857143,0.788643216080402,0,0,12466000.0
0,1,2,1,0.0,0.30037546933667086,0.3214285714285714,0.7487437185929648,0,0,12417000.0
0,1,0,0,0.045,0.3579474342928661,0.4999999999999999,0.7014070351758794,0,0,12256000.0
1,1,2,0,0.335,0.30663329161451813,0.4285714285714285,0.8291457286432161,0,0,12129000.0
1,1,2,1,0.105,0.13016270337922403,0.1428571428571429,0.7640201005025126,0,0,12129000.0
1,1,2,0,0.28500000000000003,0.48685857321652065,0.4642857142857143,0.7236180904522613,0,0,12129000.0
1,1,2,1,0.03,0.14267834793491865,0.1785714285714286,0.8073366834170854,0,0,12129000.0
1,1,2,0,0.18,0.24405506883604505,0.25,0.800502512562814,1,0,12129000.0
1,1,2,1,0.23,0.4192740926157697,0.5357142857142857,0.8140703517587939,1,0,12129000.0
1,1,2,1,0.54,0.5632040050062579,0.4642857142857143,0.7867336683417085,0,0,12129000.0
1,1,2,0,0.155,0.30287859824780977,0.3928571428571429,0.7996984924623115,0,0,12129000.0
1,1,1,1,0.37,0.4993742177722153,0.5714285714285715,0.774070351758794,1,0,12040000.0
1,1,1,1,0.32,0.22778473091364207,0.3571428571428571,0.7662311557788944,1,0,12000000.0
1,1,2,1,0.045,0.10012515644555695,0.1071428571428571,0.7790954773869346,0,0,12000000.0
1,1,2,1,0.08,0.2828535669586984,0.3214285714285714,0.7733668341708543,0,0,12000000.0
1,1,1,0,0.245,0.22778473091364207,0.3214285714285714,0.8292462311557789,1,0,11967000.0
1,1,0,1,0.56,0.4230287859824781,0.6785714285714285,0.7614070351758794,1,0,11967000.0
1,1,2,1,0.095,0.47434292866082606,0.3928571428571429,0.7131658291457287,0,0,11967000.0
1,1,1,0,0.555,0.5156445556946183,0.4999999999999999,0.8420100502512563,0,0,11947000.0
0,1,2,1,0.0,0.19148936170212766,0.25,0.655175879396985,0,0,11826000.0
1,1,0,0,0.1,0.20400500625782228,0.2142857142857143,0.7737688442211055,0,0,11664000.0
1,1,2,0,0.1,0.25156445556946183,0.25,0.8224120603015075,0,0,11644000.0
1,1,2,1,0.04,0.1439299123904881,0.1785714285714286,0.8184924623115578,0,0,11522000.0
0,1,1,1,0.14,0.27033792240300375,0.4999999999999999,0.7487437185929648,1,0,11171000.0
1,1,2,0,0.2,0.4330413016270338,0.5357142857142857,0.6733668341708543,1,0,11110000.0
1,1,2,1,0.075,0.25406758448060074,0.25,0.7949748743718593,0,0,10970000.0
1,1,1,1,0.225,0.3254067584480601,0.3571428571428571,0.7490452261306533,1,0,10970000.0
0,1,0,0,0.195,0.18898623279098875,0.2857142857142857,0.7252261306532664,0,0,10970000.0
